name,lat,log
argyll-in-strathclyde-region_lochgilphead_2007.csv,56.034,-5.428
argyll-in-strathclyde-region_lochgilphead_2009.csv,56.034,-5.428
argyll-in-strathclyde-region_lochgilphead_2010.csv,56.034,-5.428
argyll-in-strathclyde-region_lochgilphead_2011.csv,56.034,-5.428
argyll-in-strathclyde-region_lochgilphead_2012.csv,56.034,-5.428
argyll-in-strathclyde-region_lochgilphead_2013.csv,56.034,-5.428
argyll-in-strathclyde-region_lochgilphead_2014.csv,56.034,-5.428
argyll-in-strathclyde-region_machrihanish_2005.csv,55.441,-5.697
argyll-in-strathclyde-region_machrihanish_2006.csv,55.441,-5.697
argyll-in-strathclyde-region_machrihanish_2007.csv,55.441,-5.697
argyll-in-strathclyde-region_machrihanish_2009.csv,55.441,-5.697
argyll-in-strathclyde-region_machrihanish_2010.csv,55.441,-5.697
argyll-in-strathclyde-region_machrihanish_2011.csv,55.441,-5.697
argyll-in-strathclyde-region_machrihanish_2012.csv,55.441,-5.697
argyll-in-strathclyde-region_machrihanish_2013.csv,55.441,-5.697
argyll-in-strathclyde-region_machrihanish_2014.csv,55.441,-5.697
argyll-in-strathclyde-region_mull-torosay-gardens_2005.csv,56.454,-5.686
argyll-in-strathclyde-region_mull-torosay-gardens_2006.csv,56.454,-5.686
argyll-in-strathclyde-region_mull-torosay-gardens_2007.csv,56.454,-5.686
argyll-in-strathclyde-region_oban-airport_2005.csv,56.464,-5.399
argyll-in-strathclyde-region_tiree_2005.csv,56.5,-6.881
argyll-in-strathclyde-region_tiree_2006.csv,56.5,-6.881
argyll-in-strathclyde-region_tiree_2007.csv,56.5,-6.881
argyll-in-strathclyde-region_tiree_2009.csv,56.5,-6.881
argyll-in-strathclyde-region_tiree_2010.csv,56.5,-6.881
argyll-in-strathclyde-region_tiree_2011.csv,56.5,-6.881
argyll-in-strathclyde-region_tiree_2012.csv,56.5,-6.881
argyll-in-strathclyde-region_tiree_2013.csv,56.5,-6.881
argyll-in-strathclyde-region_tiree_2014.csv,56.5,-6.881
armagh_annaghmore_2005.csv,54.459,-6.603
armagh_annaghmore_2006.csv,54.459,-6.603
armagh_annaghmore_2007.csv,54.459,-6.603
armagh_armagh_2005.csv,54.352,-6.65
armagh_armagh_2006.csv,54.352,-6.65
armagh_armagh_2007.csv,54.352,-6.65
armagh_armagh_2009.csv,54.352,-6.65
armagh_armagh_2010.csv,54.352,-6.65
armagh_armagh_2011.csv,54.352,-6.65
armagh_armagh_2012.csv,54.352,-6.65
armagh_armagh_2013.csv,54.352,-6.65
armagh_armagh_2014.csv,54.352,-6.65
armagh_castor-bay-w-wks_2005.csv,54.501,-6.343
armagh_castor-bay-w-wks_2006.csv,54.501,-6.343
armagh_castor-bay-w-wks_2007.csv,54.501,-6.343
armagh_glenanne-no-2_2005.csv,54.237,-6.503
armagh_glenanne-no-2_2006.csv,54.237,-6.503
armagh_glenanne-no-2_2007.csv,54.237,-6.503
armagh_glenanne-no-2_2009.csv,54.237,-6.503
armagh_glenanne-no-2_2010.csv,54.237,-6.503
armagh_glenanne-no-2_2011.csv,54.237,-6.503
armagh_glenanne-no-2_2012.csv,54.237,-6.503
armagh_glenanne-no-2_2013.csv,54.237,-6.503
armagh_glenanne-no-2_2014.csv,54.237,-6.503
armagh_loughgall-no-2_2005.csv,54.408,-6.592
armagh_loughgall-no-2_2006.csv,54.408,-6.592
armagh_loughgall-no-2_2007.csv,54.408,-6.592
armagh_loughgall-no-2_2009.csv,54.408,-6.592
armagh_loughgall-no-2_2010.csv,54.408,-6.592
armagh_loughgall-no-2_2011.csv,54.408,-6.592
armagh_loughgall-no-2_2012.csv,54.408,-6.592
armagh_loughgall-no-2_2013.csv,54.408,-6.592
armagh_loughgall-no-2_2014.csv,54.408,-6.592
armagh_peatlands_2005.csv,54.483,-6.62
armagh_peatlands_2006.csv,54.483,-6.62
armagh_peatlands_2007.csv,54.483,-6.62
armagh_peatlands_2009.csv,54.483,-6.62
armagh_peatlands_2010.csv,54.483,-6.62
armagh_peatlands_2011.csv,54.483,-6.62
armagh_peatlands_2012.csv,54.483,-6.62
armagh_peatlands_2013.csv,54.483,-6.62
armagh_peatlands_2014.csv,54.483,-6.62
avon_avonmouth_2009.csv,51.506,-2.717
avon_avonmouth_2010.csv,51.506,-2.717
avon_avonmouth_2011.csv,51.506,-2.717
avon_avonmouth_2012.csv,51.506,-2.717
avon_avonmouth_2013.csv,51.506,-2.717
avon_avonmouth_2014.csv,51.506,-2.717
avon_bath-beechen-cliff-school_2005.csv,51.372,-2.359
avon_filton_2005.csv,51.522,-2.577
avon_filton_2006.csv,51.522,-2.577
avon_filton_2007.csv,51.522,-2.577
avon_filton_2009.csv,51.522,-2.577
avon_filton_2010.csv,51.522,-2.577
avon_filton_2011.csv,51.522,-2.577
avon_filton_2012.csv,51.522,-2.577
avon_filton_2013.csv,51.522,-2.577
avon_filton_2014.csv,51.522,-2.577
ayrshire_auchenflower_2005.csv,55.104,-4.946
ayrshire_auchenflower_2006.csv,55.104,-4.946
ayrshire_auchenflower_2007.csv,55.104,-4.946
ayrshire_auchenflower_2009.csv,55.104,-4.946
ayrshire_auchenflower_2010.csv,55.104,-4.946
ayrshire_auchenflower_2011.csv,55.104,-4.946
ayrshire_auchenflower_2012.csv,55.104,-4.946
ayrshire_auchenflower_2013.csv,55.104,-4.946
ayrshire_auchincruive_2005.csv,55.477,-4.565
ayrshire_auchincruive_2006.csv,55.477,-4.565
ayrshire_auchincruive_2007.csv,55.477,-4.565
ayrshire_auchincruive_2009.csv,55.477,-4.565
ayrshire_auchincruive_2010.csv,55.477,-4.565
ayrshire_auchincruive_2011.csv,55.477,-4.565
ayrshire_auchincruive_2012.csv,55.477,-4.565
ayrshire_auchincruive_2013.csv,55.477,-4.565
